256 32896
0 0 8
1 0 -0.06
1 1 8.25
2 0 -0.03
2 1 0.06
2 2 8.5
3 0 -0.015
3 1 0.05
3 2 0.015
3 3 8.75
4 0 -0.006
4 1 -0.0375
4 2 0.02
4 3 -0.03
4 4 9
5 0 0
5 1 -0.024
5 2 0.0225
5 3 -0.01
5 4 -0.075
5 5 9.25
6 0 0.0042857143
6 1 -0.015
6 2 0.024
6 3 0
6 4 -0.04
6 5 0.045
6 6 9.5
7 0 0.0075
7 1 -0.0085714286
7 2 0.025
7 3 0.006
7 4 -0.0225
7 5 0.04
7 6 0
7 7 9.75
8 0 0.01
8 1 -0.00375
8 2 -0.021428571
8 3 0.01
8 4 -0.012
8 5 0.0375
8 6 0.01
8 7 -0.045
8 8 10
9 0 0.012
9 1 0
9 2 -0.015
9 3 0.012857143
9 4 -0.005
9 5 -0.03
9 6 0.015
9 7 -0.02
9 8 0.075
9 9 10.25
10 0 0.013636364
10 1 0.003
10 2 -0.01
10 3 0.015
10 4 0
10 5 -0.02
10 6 0.018
10 7 -0.0075
10 8 -0.05
10 9 0.03
10 10 10.5
11 0 -0.0125
11 1 0.0054545455
11 2 -0.006
11 3 0.016666667
11 4 0.00375
11 5 -0.012857143
11 6 0.02
11 7 0
11 8 -0.03
11 9 0.03
11 10 -0.015
11 11 10.75
12 0 -0.0092307692
12 1 0.0075
12 2 -0.0027272727
12 3 -0.015
12 4 0.0066666667
12 5 -0.0075
12 6 0.021428571
12 7 0.005
12 8 -0.018
12 9 0.03
12 10 0
12 11 -0.06
12 12 11
13 0 -0.0064285714
13 1 0.0092307692
13 2 0
13 3 -0.010909091
13 4 0.009
13 5 -0.0033333333
13 6 -0.01875
13 7 0.0085714286
13 8 -0.01
13 9 0.03
13 10 0.0075
13 11 -0.03
13 12 0.06
13 13 8
14 0 -0.004
14 1 0.010714286
14 2 0.0023076923
14 3 -0.0075
14 4 0.010909091
14 5 0
14 6 -0.013333333
14 7 0.01125
14 8 -0.0042857143
14 9 -0.025
14 10 0.012
14 11 -0.015
14 12 0.05
14 13 0.015
14 14 8.25
15 0 -0.001875
15 1 -0.01
15 2 0.0042857143
15 3 -0.0046153846
15 4 0.0125
15 5 0.0027272727
15 6 -0.009
15 7 0.013333333
15 8 0
